timestamp,temperature,humidity,pressure,wind_speed,rainfall,wind_direction,dew_point,station_id,station_name,lat,lon,data_source
2024-01-01T00:00,24.6,62,986.7,0.7,0.0,360,16.7,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T01:00,23.8,64,986.2,1.3,0.0,34,16.7,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T02:00,21.8,74,985.5,4.1,0.0,45,16.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T03:00,21.8,73,985.2,4.1,0.0,38,16.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T04:00,22.4,71,985.9,3.1,0.0,54,16.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T05:00,22.1,72,986.5,1.8,0.0,11,16.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T06:00,21.7,75,987.2,2.1,0.0,31,17.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T07:00,22.3,75,988.1,2.8,0.0,130,17.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T08:00,23.8,75,989.0,3.4,0.0,108,19.2,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T09:00,25.7,66,989.5,4.3,0.1,138,18.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T10:00,27.3,59,989.0,5.7,0.0,145,18.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T11:00,28.6,52,988.0,7.7,0.0,143,17.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T12:00,29.7,48,986.9,7.5,0.0,145,17.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T13:00,30.4,46,985.4,6.7,0.0,144,17.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T14:00,30.8,42,984.3,7.2,0.0,143,16.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T15:00,30.8,41,983.8,9.4,0.0,140,15.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T16:00,30.6,40,983.5,7.7,0.0,127,15.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T17:00,29.4,51,983.7,3.1,0.0,111,18.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T18:00,27.7,53,985.0,6.6,0.0,209,17.2,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T19:00,28.7,48,986.1,2.9,0.0,270,16.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T20:00,26.7,56,986.7,2.6,0.0,16,17.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T21:00,24.7,62,986.8,5.5,0.0,23,17.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T22:00,25.0,60,987.2,6.6,0.0,77,16.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-01T23:00,25.2,63,987.0,4.1,0.0,105,17.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T00:00,23.9,72,986.5,5.6,0.0,140,18.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T01:00,23.7,75,985.9,4.5,0.0,151,18.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T02:00,23.2,77,985.4,4.8,0.0,153,18.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T03:00,22.8,82,985.1,4.6,0.0,135,19.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T04:00,22.7,82,985.3,3.9,0.0,112,19.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T05:00,23.1,79,985.7,2.5,0.0,90,19.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T06:00,23.1,81,986.6,2.6,0.0,74,19.7,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T07:00,23.5,80,987.1,4.5,0.0,104,19.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T08:00,24.6,74,987.7,1.8,0.0,90,19.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T09:00,26.6,64,988.0,3.4,0.0,122,19.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T10:00,27.6,59,987.4,5.6,0.0,135,18.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T11:00,28.3,57,986.5,9.1,0.0,146,18.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T12:00,27.8,59,985.8,9.8,0.0,163,19.0,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T13:00,28.7,54,984.6,6.9,0.0,137,18.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T14:00,29.8,49,983.4,6.8,0.0,93,18.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T15:00,30.1,47,982.9,7.3,0.0,110,17.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T16:00,30.3,45,983.0,5.7,0.0,108,16.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T17:00,29.8,49,983.2,3.4,0.0,108,17.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T18:00,26.8,59,984.4,5.5,0.0,11,18.0,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T19:00,27.6,53,985.6,1.8,0.0,11,17.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T20:00,26.3,58,986.3,2.5,0.0,352,17.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T21:00,24.6,63,986.6,5.2,0.0,34,17.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T22:00,23.9,64,986.7,6.7,0.0,74,16.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-02T23:00,25.4,55,986.5,3.6,0.0,37,15.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T00:00,24.9,57,986.2,1.3,0.0,34,15.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T01:00,24.4,59,985.5,1.8,0.0,90,15.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T02:00,23.9,61,984.8,1.6,0.0,63,16.0,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T03:00,22.3,69,984.3,4.6,0.0,45,16.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T04:00,22.6,68,984.5,3.7,0.0,29,16.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T05:00,23.0,66,985.2,1.9,0.0,22,16.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T06:00,21.4,80,985.9,3.3,0.1,49,17.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T07:00,22.7,75,986.8,2.6,0.1,16,18.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T08:00,24.3,73,987.6,3.0,0.0,104,19.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T09:00,25.8,66,987.9,4.1,0.0,128,18.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T10:00,27.5,58,987.8,5.1,0.0,135,18.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T11:00,28.2,55,986.9,5.1,0.0,141,18.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T12:00,29.0,52,985.3,4.2,0.0,110,18.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T13:00,30.4,47,983.9,3.8,0.0,139,17.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T14:00,31.3,43,982.9,4.0,0.0,175,17.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T15:00,30.2,45,982.6,5.7,0.0,305,17.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T16:00,27.6,57,982.5,15.5,0.0,314,18.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T17:00,25.8,65,983.1,10.7,0.0,290,18.7,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T18:00,24.5,82,984.0,7.8,0.1,304,21.2,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T19:00,24.6,84,984.5,4.5,0.0,299,21.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T20:00,24.7,84,985.4,1.8,0.0,53,21.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T21:00,25.0,81,985.9,1.1,0.0,18,21.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T22:00,24.6,82,985.8,2.6,0.0,304,21.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-03T23:00,24.5,82,985.7,3.3,0.0,276,21.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T00:00,24.8,80,985.3,1.6,0.0,117,21.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T01:00,23.6,87,984.9,3.8,0.1,107,21.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T02:00,23.6,85,984.4,3.3,0.3,77,21.0,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T03:00,23.1,86,984.4,3.4,0.1,72,20.7,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T04:00,22.8,87,984.5,3.4,0.0,72,20.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T05:00,22.7,88,984.9,3.2,0.0,117,20.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T06:00,23.7,85,986.1,4.1,0.1,128,21.0,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T07:00,23.8,85,987.0,5.0,0.1,120,21.0,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T08:00,24.0,83,987.6,7.0,0.1,111,20.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T09:00,25.0,78,987.7,6.5,0.2,109,20.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T10:00,26.9,67,987.2,6.1,0.0,130,20.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T11:00,27.9,61,986.3,5.2,0.0,155,19.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T12:00,29.2,55,984.9,1.9,0.0,158,19.2,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T13:00,29.5,53,983.7,2.3,0.0,198,18.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T14:00,29.2,54,982.8,3.6,0.0,270,19.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T15:00,27.5,68,982.3,10.3,0.1,299,21.0,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T16:00,24.9,83,982.4,11.6,0.5,286,21.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T17:00,23.9,92,982.9,7.1,2.2,319,22.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T18:00,24.4,84,984.1,5.7,0.2,288,21.5,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T19:00,23.7,89,984.8,3.4,0.2,288,21.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T20:00,23.6,92,985.7,4.3,0.0,270,22.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T21:00,23.8,92,986.0,3.2,0.1,270,22.4,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T22:00,23.7,90,986.3,2.2,0.0,171,22.1,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-04T23:00,23.4,94,986.1,2.6,0.2,146,22.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-05T00:00,23.5,93,985.9,0.5,0.2,315,22.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-05T01:00,23.5,91,985.4,1.8,0.4,11,21.9,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-05T02:00,23.4,90,984.6,1.5,0.6,76,21.6,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-05T03:00,23.2,92,984.3,2.1,0.6,59,21.8,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-05T04:00,23.2,93,984.4,0.4,0.4,90,22.0,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
2024-01-05T05:00,23.1,95,984.8,0.5,0.4,225,22.3,AWS_ERD_004,Sathyamangalam,11.5052,77.2388,ERA5_OpenMeteo
